,1th,2th,3th,4th,5th
age,9282.812263011932,7106.781392097473,7038.866186141968,7288.422060012817,9407.822023391724
job,4968.62491607666,5025.351740837097,4234.301696777344,5161.982093811035,3988.307011604309
marital,2720.673177719116,2178.586947441101,2231.174695968628,2615.8974895477295,2724.8535833358765
education,2384.87331199646,1971.233253955841,1630.3660125732422,2030.4767971038818,2345.5399255752563
default,0.0,0.0,0.0,0.0,0.0
balance,9349.99851179123,7770.867481231689,3206.4889087677,6025.322798728943,6705.371799468994
housing,13790.265690803528,14199.523069381714,13869.9100856781,15018.729009628296,14236.754062652588
loan,1820.4899015426636,2185.1929111480713,1620.234884262085,1995.0913047790527,2107.6864070892334
contact,2911.9549417495728,2301.6490411758423,2595.139356613159,2994.650845527649,2127.9973945617676
day,9300.734603404999,10213.627786636353,7257.97420501709,10029.053042411804,8702.876583099365
month,12708.680165290833,13709.409947395325,9732.950553894043,11512.833821296692,12223.743437767029
duration,11990.482967853546,11351.683596611023,11156.710000991821,11393.553741455078,13926.2128200531
campaign,2965.0282850265503,2226.813383102417,1137.4591093063354,2199.704912185669,2413.5702028274536
pdays,8760.058271884918,8657.436123847961,5448.7683029174805,7507.129196166992,6731.34300327301
previous,3326.278631210327,2947.6777925491333,2742.8406295776367,3537.3087396621704,3201.9832611083984
poutcome,15037.110763549805,15527.979454994202,14812.53198814392,14412.194080352783,14246.945010185242
